Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
cf618c33-da6c-b551-249b-e1aa46687b69,1988-03-03,,999-33-9359,S99925547,X68578327X,Mrs.,Vicky438,Janae99,Bechtelar572,,Heller342,M,black,nonhispanic,F,Atlanta  Georgia  US,661 Spencer Estate,Pooler,Georgia,Chatham County,13051,31322,32.044265330287146,-81.21840935978517,195314.14,404577.27,137978
cc0c056e-b73a-47f2-ec19-719cb7d1fc11,1963-04-27,,999-74-2796,S99959673,X8587146X,Mr.,Bradly656,Rocky100,Kunde533,,,M,white,nonhispanic,M,Augusta  Georgia  US,1027 Lowe Neck,Atlanta,Georgia,Fulton County,13121,30332,33.71329845469398,-84.5812989998347,166509.21,550624.15,10728
1291a36a-602a-225f-7c66-a5171c35bb7a,1965-10-25,,999-14-4655,S99947825,X31002171X,Mrs.,Kimber624,Ariana988,McLaughlin530,,Lueilwitz711,M,black,nonhispanic,F,Marietta  Georgia  US,714 Kling Key Apt 88,Atlanta,Georgia,Fulton County,13089,30316,33.70925087057467,-84.45294898344754,298817.19,1180836.38,25245
2b72d6e3-9d2b-386a-0a79-eec779477392,1983-01-13,,999-15-7551,S99991904,X49351131X,Mr.,Roger751,Cary869,Dooley940,,,M,white,hispanic,M,West Point  Georgia  US,1096 Hyatt Row,Sandy Springs,Georgia,Fulton County,13121,30327,33.99221060977963,-84.3607727226263,40380.96,69076.87,3204
9aa6cef5-1f1c-4cc9-4e7c-5f69acd4c0ad,1945-05-10,2021-07-10,999-80-6758,S99931030,X64522792X,Mr.,Roscoe437,Kraig824,Swift555,,,W,white,nonhispanic,M,Savannah  Georgia  US,561 Turner Club,Dalton,Georgia,Whitfield County,13313,30740,34.72010567368436,-85.02441058847147,294234.63,379464.51,36728
54346ffe-ef20-9189-66ea-6547bc977000,2013-09-16,,999-28-1875,,,,Garret233,Amado512,Hodkiewicz467,,,,black,nonhispanic,M,Lithia Springs  Georgia  US,775 Collins Highlands Suite 87,Atlanta,Georgia,DeKalb County,13121,30336,33.74360202506662,-84.55611755600101,38511.25,20521.61,57924
6510d371-dd97-1a55-d337-f5224fc70c3d,1921-02-18,2006-04-18,999-68-6802,S99996616,X13235823X,Mr.,Gale827,Lionel365,Heller342,,,D,white,nonhispanic,M,Macon-Bibb County  Georgia  US,338 Wunsch Meadow Unit 77,Milledgeville,Georgia,Baldwin County,13009,31062,33.03441800418628,-83.21357128740777,125429.48,2192866.55,21482
0c690eec-a2a3-b2ea-cf48-bbfcae1ded9d,1954-04-16,,999-85-4168,S99998788,X10729037X,Mrs.,Jene106,Pinkie318,Daniel959,,Waelchi213,M,black,nonhispanic,F,Atlanta  Georgia  US,743 Wolf Station,Brunswick,Georgia,Glynn County,13127,31525,31.307333730745903,-81.53321208887616,282178.48,1258133.53,31660
2dddb2c5-be01-e8c7-ee6e-124d809569e9,1993-11-10,,999-64-2366,S99930056,X21223503X,Mrs.,Monika509,,Waelchi213,,Huel628,M,white,nonhispanic,F,Covington  Georgia  US,138 Schowalter Throughway,Savannah,Georgia,Chatham County,13051,31405,32.021927124992956,-81.13904036728317,45795.90,200828.45,35873
019d6ed9-1df9-1282-9f80-a6cd441c99a9,1967-11-06,,999-45-8013,S99928949,X24557241X,Mr.,Jaime666,Rey54,Stokes453,,,S,white,nonhispanic,M,Macon-Bibb County  Georgia  US,797 Roberts Underpass Suite 20,Newnan,Georgia,Coweta County,13077,30265,33.37152681675213,-84.67559350315396,49994.42,102135.34,121391
4208eaa4-cd7c-be6e-967d-a94a73f73475,1994-11-02,,999-89-8111,S99997508,X44594294X,Mr.,Marcel580,Ivan258,Metz686,,,M,white,nonhispanic,M,Winder  Georgia  US,872 Kovacek Street Apt 54,Athens,Georgia,Clarke County,,00000,33.8854966154647,-83.35743186975232,11961.47,36599.67,5829
6829735c-3c72-014d-ac03-65724a373ce8,1956-08-19,,999-85-5525,S99958068,X2970424X,Mrs.,Ching589,Milissa240,Beatty507,,Ledner144,M,white,nonhispanic,F,Smyrna  Georgia  US,748 Walsh Landing,Albany,Georgia,Dougherty County,13095,31721,31.578380008887866,-84.25476461086579,465737.70,846337.56,5158
c7090555-78a2-cadf-36b2-33b463b3250b,1987-05-09,2020-05-31,999-44-3948,S99997045,X831355X,Mrs.,Akiko835,Hisako109,Wehner319,,Blick895,M,black,nonhispanic,F,Atlanta  Georgia  US,1065 Berge Throughway Apt 91,Union City,Georgia,Fulton County,13121,30349,33.60926125376425,-84.49902712827509,14030.49,683336.61,10858
675dbcc0-85f5-1349-b1e3-6a4a7db6ed7b,1965-10-16,,999-53-9990,S99943888,X65738825X,Mr.,Cornell131,Kraig824,Pagac496,,,D,hawaiian,nonhispanic,M,Rome  Georgia  US,383 Koss Heights,Augusta,Georgia,Richmond County,,00000,33.40321945742332,-81.97222008581971,126557.44,15304.68,59616
43d97e2d-5ead-8778-0859-156df1207e2f,1962-08-06,,999-53-5736,S99965722,X55991046X,Mrs.,Flor713,Reva678,Borer986,,Veum823,M,white,nonhispanic,F,Harlem  Georgia  US,507 Daugherty Ranch Unit 38,Conyers,Georgia,Rockdale County,13247,30012,33.678354197462866,-83.99826230859692,320489.92,2161537.27,34577
900bc218-ab0c-5c12-9fad-5e6e2b1e8fb8,1955-10-21,,999-81-6431,S99946653,X53069816X,Mrs.,Cherryl901,Trina350,Stoltenberg489,,Breitenberg711,D,white,nonhispanic,F,Manchester  Georgia  US,624 Prosacco Frontage road Suite 47,Cusseta-Chattahoochee County unified government,Georgia,Chattahoochee County,13053,31905,32.256470444068334,-84.72201573108602,351153.72,529245.06,42889
a2d0e8bf-ec78-0bf2-3401-c2cb6a401c29,1951-02-03,,999-52-5389,S99992565,X71340737X,Ms.,Sueann178,,Sawayn19,,,S,white,hispanic,F,Brookhaven  Georgia  US,364 Beier Run Suite 9,Union City,Georgia,Fulton County,13121,30349,33.59527563160772,-84.66147345195813,1124876.84,76920.52,61072
ace22a75-8b39-0606-f4b5-b6eb82b42f74,1921-02-18,2005-10-06,999-35-2398,S99932814,X77194840X,Mr.,Miles206,Minh326,Schuster709,,,S,white,nonhispanic,M,Mableton  Georgia  US,246 Witting Landing Suite 82,Milledgeville,Georgia,Baldwin County,13009,31061,33.07738201994761,-83.33470972854761,171067.57,520508.20,21482
a136ed89-ee44-3b98-e1f3-33ef17a1cbca,1940-07-07,,999-93-4684,S99942659,X12248466X,Mr.,Troy560,,Gottlieb798,,,D,black,nonhispanic,M,Statesboro  Georgia  US,460 Rogahn Estate,Peachtree City,Georgia,Fayette County,13113,30215,33.367311069536775,-84.44821196922288,110056.72,230595.81,180211
db9f76cc-90b2-bb81-3dda-2e945f5c0e32,1987-05-09,,999-66-4438,S99956467,X64360537X,Mrs.,Bobette685,,Lind531,,Ankunding277,M,black,nonhispanic,F,Toccoa  Georgia  US,844 Bruen Brook Unit 84,Union City,Georgia,Fulton County,13121,30349,33.52794004527546,-84.49500527261537,280152.46,392831.48,10858
f3e7f713-5c27-d816-feaa-51c1d7ae4bcd,1945-05-10,,999-31-7074,S99927757,X53592555X,Mr.,Martin117,Shelby741,Pfannerstill264,,,S,white,nonhispanic,M,Perry  Georgia  US,1039 Davis Lane,Dalton,Georgia,Whitfield County,13313,30740,34.797357965111374,-84.96279902714355,408185.92,543106.03,36728
242cdd0f-bd2e-272b-0aca-8881f27269ae,2006-04-04,,999-65-3675,S99932630,,Ms.,Sheri207,Kay203,Mante251,,,,white,nonhispanic,F,Rockmart  Georgia  US,503 Heller Crossroad,Fairview,Georgia,Walker County,,00000,34.89571702340858,-85.29123332541546,45194.33,2666.28,49701
c0501b94-2b2a-a130-a5d1-9b7f2eb37303,1953-09-10,,999-64-6382,S99989036,X75549328X,Mr.,Noble66,Jessie665,Cassin499,,,M,white,nonhispanic,M,Atlanta  Georgia  US,820 Walker Flat,Peachtree City,Georgia,Fayette County,13113,30215,33.44373800714193,-84.56901992602543,137954.40,146434.28,75950
c9f0bd9e-bbde-2817-0157-19a033d7bfa7,1974-01-27,,999-68-8469,S99941631,X55070358X,Mr.,Bryce11,Kenny207,Nader710,,,M,white,nonhispanic,M,Atlanta  Georgia  US,834 Rempel Path Apt 79,Centerville,Georgia,Houston County,13153,31093,32.6804173454302,-83.76780768151082,40754.95,59783.22,20777
9d95f40b-55e5-8f80-befe-408d58298f41,2018-07-29,,999-89-5518,,,,Asha251,Etsuko685,Sipes176,,,,black,nonhispanic,F,Montgomery  Georgia  US,810 Yundt Gardens Apt 99,Augusta,Georgia,Richmond County,,00000,33.48746647073221,-82.01156960698717,1000.00,11439.61,10906
e119473d-7037-f821-a341-2e66acb6c022,1994-10-21,,999-10-5399,S99932025,X28432247X,Mrs.,Arletta663,Venice604,Farrell962,,Morissette863,M,white,nonhispanic,F,Dallas  Georgia  US,795 Blanda Mall Suite 53,Cusseta-Chattahoochee County unified government,Georgia,Chattahoochee County,13053,31905,32.29201904825709,-84.78637541906102,107912.11,219762.32,58222
48d3a867-3068-90e4-9517-4651d028dc37,1953-01-24,2006-06-26,999-18-9494,S99967119,X47160943X,Ms.,Bailey598,Elaine830,Nicolas769,,,S,white,nonhispanic,F,Albany  Georgia  US,521 Bailey Camp,Douglasville,Georgia,Douglas County,13097,30122,33.739653583758475,-84.5668884865286,2584213.39,44307.04,81220
ad32775c-4913-6123-9976-208fb0fb5458,1958-11-03,2019-12-21,999-34-9803,S99919929,X28163141X,Mr.,Johnson679,Lupe126,O'Hara248,,,D,white,nonhispanic,M,Social Circle  Georgia  US,719 Rempel Approach,St. Simons,Georgia,Glynn County,,00000,31.148471654277905,-81.38476792610054,27069.52,304213.12,159759
1eb2a18e-96ae-99e0-1d59-97ad7926efcd,1984-11-20,,999-40-1999,S99917215,X52824446X,Mrs.,Blanche121,Ileana390,Konopelski743,,Schroeder447,M,white,nonhispanic,F,Augusta  Georgia  US,806 Breitenberg Well,Forest Park,Georgia,Clayton County,13063,30297,33.57912370561445,-84.39548156256976,334287.86,862149.28,23418
b75dbaab-f3ff-44a2-a1f8-2c8c5d4aba30,1921-02-18,2005-01-28,999-77-5186,S99958642,X10213451X,Mr.,Gaston250,Marcelino726,Schaden604,,,M,white,nonhispanic,M,Albany  Georgia  US,947 Wehner Rapid Suite 26,Milledgeville,Georgia,Baldwin County,13009,31061,33.092604190371326,-83.1963124218263,179003.63,285695.42,21482
a9642f8f-0c67-0b7e-6c37-cc7cff2d513a,2002-03-12,,999-83-7567,S99930804,X3210193X,Mr.,Deon400,,Weimann465,,,,white,nonhispanic,M,Athens  Georgia  US,634 Hansen Gardens,Warner Robins,Georgia,Houston County,13153,31088,32.60737259451157,-83.64602840788413,43585.38,80954.50,97298
fc19cc47-de6e-75eb-7632-cc8d9323124a,1958-10-19,2013-07-09,999-71-4910,S99976056,X18817686X,Mr.,Oscar384,Danilo179,Larson43,,,M,black,nonhispanic,M,Sandy Springs  Georgia  US,465 Ziemann Path Apt 80,Buford,Georgia,Gwinnett County,13135,30518,34.14615934257748,-84.00204148734433,71068.46,104729.21,51041
13486aac-a44e-63ee-ee62-51e3881f20b9,1953-01-24,1962-09-29,999-97-5291,,,,Ronna740,Jesusita936,Kohler843,,,,white,nonhispanic,F,Canton  Georgia  US,515 Little Gardens,Douglasville,Georgia,Douglas County,13067,30168,33.769905415395804,-84.61775057137964,31203.32,0.00,81220
1354d00e-99fb-e861-1377-8ed4aa5797af,1975-07-31,,999-74-1834,S99917761,X5228372X,Mrs.,Maude482,,Gulgowski816,,Dooley940,M,white,nonhispanic,F,Dalton  Georgia  US,334 Hoeger Row Unit 74,Milledgeville,Georgia,Baldwin County,13009,31062,33.081062609868205,-83.26477080682854,225900.95,836683.74,18012
83b6133b-2328-c229-2a2e-81e665506112,1995-06-03,,999-80-8162,S99987781,X3706144X,Mr.,Kendrick479,Guillermo498,Cassin499,,,M,white,nonhispanic,M,Albany  Georgia  US,763 Lueilwitz Harbor,Marietta,Georgia,Cobb County,13067,30008,34.01087926591798,-84.60689803544886,49349.05,4204.66,58738
595730be-1a68-a54d-6b3f-25f3a36e1939,1958-11-03,,999-79-4672,S99968971,X47631763X,Mr.,Dannie881,August363,Hessel84,,,S,white,nonhispanic,M,Athens  Georgia  US,678 Stark Boulevard Unit 15,St. Simons,Georgia,Glynn County,,00000,31.181344724178697,-81.38618058671724,120268.51,39863.30,159759
69921408-7bbd-e254-1c76-c7c7b4d9a8a5,2020-07-29,,999-90-8121,,,,Marty115,Anibal473,Senger904,,,,white,nonhispanic,M,Dallas  Georgia  US,107 Walker Center Suite 24,St. Marys,Georgia,Camden County,13039,31547,30.73826828347693,-81.60995248996423,650.00,10357.00,2072
73a5aede-e251-6824-81c6-2ee337adbc67,1954-08-14,,999-90-7664,S99990935,X62081190X,Mr.,Micheal721,Carmine137,Hirthe744,,,M,white,hispanic,M,Augusta  Georgia  US,161 Gulgowski Mews,Flowery Branch,Georgia,Hall County,13135,30519,34.06611449925379,-83.90309566256379,112983.82,674762.78,807986
9a802d41-2309-dc5e-499c-7dba21abd818,1957-04-25,,999-54-9213,S99991002,X80418065X,Mrs.,Kimber624,,Spinka232,,Kris249,M,black,nonhispanic,F,LaFayette  Georgia  US,241 Lindgren Grove Suite 29,Mableton,Georgia,Cobb County,13067,30126,33.78995668699552,-84.52019162011906,636289.59,22242.45,106552
9321fb44-a1ea-b0e7-29ef-ecc8a100db54,1958-10-19,,999-92-3050,S99971196,X86204828X,Mr.,Manual570,Sammie902,Koelpin146,,,M,black,nonhispanic,M,Atlanta  Georgia  US,140 Lockman Passage,Buford,Georgia,Gwinnett County,13135,30518,34.09646276452336,-83.90075973340117,156004.57,94882.47,51041
59d4a1ae-bf0c-efda-ec9c-796de13793e6,1998-08-09,,999-23-5558,S99933292,X39810944X,Mr.,Jonathan639,Tyler508,Friesen796,,,,white,nonhispanic,M,Dublin  Georgia  US,700 Braun Port,Gumlog,Georgia,Franklin County,,00000,34.475371107555745,-83.13349111264283,56892.50,15471.28,73831
d49600e4-f051-1977-225d-56db130fd59b,2016-06-17,,999-78-9684,,,,Hermina428,Burma963,Sipes176,,,,black,nonhispanic,F,Augusta  Georgia  US,164 Halvorson Center Unit 90,Atlanta,Georgia,Fulton County,13121,30313,33.73097280628087,-84.43293743864783,13011.41,18391.79,63238
3f5e5e3f-fce8-c368-0c79-c1c100f3b06c,1978-10-04,,999-34-9068,S99975370,X41946317X,Mrs.,Jaye603,Judi176,Witting912,,D'Amore443,M,white,nonhispanic,F,Savannah  Georgia  US,973 Johns Loaf,Thomson,Georgia,McDuffie County,13189,30824,33.54411376257818,-82.55708865663688,266062.07,574057.94,30382
b045177b-0d32-2b53-f661-845544c37097,1953-01-24,2012-07-13,999-61-7604,S99998402,X78940789X,Mrs.,Georgine810,Camila223,O'Connell601,,Senger904,M,white,nonhispanic,F,LaGrange  Georgia  US,904 Swaniawski Harbor,Douglasville,Georgia,Douglas County,13097,30134,33.661017854583925,-84.72276103359312,515282.15,203256.25,81220
3d7bf954-83dd-1336-f47a-c0ecdf6341fa,2014-05-27,,999-10-4168,,,,Gabriel934,Clair921,Crist667,,,,black,nonhispanic,M,Cartersville  Georgia  US,549 Quitzon Quay,Milton,Georgia,Fulton County,13121,30004,34.13249066135666,-84.3297664774095,16346.82,19.11,759044
0a0baf75-93fb-57fe-7da0-170726a4036e,1963-12-01,2022-09-15,999-65-8245,S99988987,X9346128X,Mr.,Cristopher265,Leopoldo762,Reynolds644,,,M,white,nonhispanic,M,Atlanta  Georgia  US,185 Upton Orchard,Jesup,Georgia,Wayne County,13305,31545,31.517799735609746,-81.77991336722856,576996.83,139143.60,3896
e28d24fd-49ea-114a-27a3-db30bdc70c78,2005-01-04,,999-52-6254,S99990254,,Mr.,Antone63,Bernardo699,Zemlak964,,,,white,nonhispanic,M,Savannah  Georgia  US,254 Eichmann Parade,Montezuma,Georgia,Macon County,13193,31068,32.3267787425651,-84.08406909099514,48686.32,18325.82,27208
d847cb83-7970-7f98-ced4-0c986f043a0f,1993-07-29,,999-64-6201,S99933852,X76836456X,Mr.,Cristobal567,,Kilback373,,,M,white,nonhispanic,M,Warner Robins  Georgia  US,139 Kris Walk Apt 93,Cusseta-Chattahoochee County unified government,Georgia,Chattahoochee County,13053,31805,32.251923151638934,-84.72296503330772,82603.93,638392.74,30589
b7e492d5-f985-4339-190e-9c0f3440ed5f,1958-06-13,,999-31-9822,S99946388,X23508030X,Mrs.,Emogene884,Yasmine182,Frami345,,Bins636,W,white,nonhispanic,F,Macon-Bibb County  Georgia  US,821 Leffler Vista Apt 71,Whitemarsh Island,Georgia,Chatham County,,00000,32.0054958068017,-81.06078312273073,616557.29,29692.02,48832
079d3ca5-b5ac-4f39-6f95-7e7c6a7f1eca,2007-05-28,2023-08-14,999-60-9784,S99976071,,,Lucia634,Beatriz277,Quiñones183,,,,white,hispanic,F,Santiago de los Caballeros  Santiago  DO,839 Quitzon Lodge Suite 38,Snellville,Georgia,Gwinnett County,13135,30039,33.88409939376952,-83.9360826721478,19432.82,100479.22,63979
338543f1-a7af-676f-07a9-000b93a619f9,1947-02-03,2000-05-05,999-75-7383,S99920883,X43040308X,Mrs.,Ramona980,Guillermina633,Delafuente833,,Arreola736,M,white,hispanic,F,Lima  Lima Province  PE,512 Okuneva Vista Suite 25,Baldwin,Georgia,Habersham County,13137,30531,34.43791790643469,-83.5108664737328,234219.63,2273065.23,14091
bb708472-9107-238d-a950-7c07973c71db,1921-02-18,2008-03-04,999-63-9139,S99947720,X63377774X,Mr.,Murray856,Antione404,Hettinger594,,,S,white,nonhispanic,M,Valdosta  Georgia  US,223 Labadie Route,Milledgeville,Georgia,Baldwin County,13009,31061,33.09490767536805,-83.23300785079005,230867.03,812926.06,21482
e75d7b5b-e106-f286-dcfd-d2d796a29549,1958-08-20,,999-67-7534,S99989545,X50502600X,Mr.,Shannon293,August363,Jacobson885,,,S,white,nonhispanic,M,Roswell  Georgia  US,779 Kuhic Crossroad Apt 67,Forest Park,Georgia,Clayton County,13063,30260,33.57418171653037,-84.40809024900142,497758.42,40024.81,62025
fb2cb162-5b8c-0741-2e2d-baca901234a9,1991-12-02,,999-50-3577,S99987820,X3400651X,Mr.,Ira784,Lucien408,Goldner995,,,S,black,nonhispanic,M,Athens  Georgia  US,967 Adams Overpass,Columbus,Georgia,Muscogee County,13215,31904,32.53940657614276,-84.76139072124741,47225.16,166830.94,19878
b901fb80-7d78-8646-9fd0-420038e583ad,2007-05-28,,999-89-4280,S99915692,,,María del Carmen27,Eloisa55,Valenzuela371,,,,white,hispanic,F,Santiago  Santiago Province  CL,503 Leffler Station Suite 5,Snellville,Georgia,Gwinnett County,13297,30052,33.93281540778102,-83.93030691872124,19816.92,4890.72,63979
63c9759e-5894-b324-7814-17a3a2f49870,2020-08-10,,999-93-8147,,,,Clifford177,Sherwood961,Corkery305,,,,white,nonhispanic,M,Canton  Georgia  US,316 Romaguera Neck,Savannah,Georgia,Chatham County,13051,31415,32.099924344496976,-81.2167867791472,2197.17,7525.17,31865
968048b2-aa29-909f-634d-2a4ff597a474,1953-01-24,2024-07-13,999-26-2404,S99920950,X79217453X,Mrs.,Gilda31,Iraida50,Durgan499,,Hackett68,M,white,nonhispanic,F,Atlanta  Georgia  US,549 Franecki Grove Apt 5,Douglasville,Georgia,Douglas County,13097,30187,33.7811298143989,-84.82979664214908,660747.95,512442.65,81220
846f0bc4-59bf-f777-0a7f-81a9e96e8450,2014-02-20,,999-74-6904,,,,Leon728,Ramon749,Leffler128,,,,black,nonhispanic,M,Monroe  Georgia  US,973 Krajcik Manor,Alpharetta,Georgia,Fulton County,13121,30004,34.03422024004269,-84.31926711958367,23723.08,0.00,73655
fb95bdf8-b2c2-3372-d374-4bc4e514c06b,2005-09-23,,999-58-4283,S99968845,,Mr.,Eric487,Alexis664,Corkery305,,,,black,nonhispanic,M,Chattanooga Valley  Georgia  US,809 Lemke Lodge,Doraville,Georgia,DeKalb County,13089,30340,33.89360378983611,-84.2579058004974,14720.36,24060.35,66715
47d1e6d6-fe8c-ad92-b6fd-bab5ec7d5788,1963-12-01,,999-42-9981,S99981449,X9007605X,Mr.,Hayden835,Antwan357,Hane680,,,S,white,nonhispanic,M,Fort Oglethorpe  Georgia  US,733 Douglas Rue,Jesup,Georgia,Wayne County,13305,31546,31.475079577574853,-81.73440278433537,86147.24,54385.16,3896
e695ad61-4b3a-76d8-1e0c-b714f92c9dd6,1942-05-09,,999-49-1310,S99929762,X9494693X,Ms.,Isa815,Felicidad691,Mertz280,,,S,white,nonhispanic,F,Cusseta-Chattahoochee County unified government  Georgia  US,139 Kirlin Common,Holly Springs,Georgia,Cherokee County,13057,30114,34.15972948217154,-84.40210469253842,1028059.13,205589.72,97230
71216bc0-10c7-c476-27c2-c110a58c279d,1981-09-18,,999-59-8768,S99936779,X47297684X,Mrs.,Carola944,Louetta798,Hyatt152,,Harber290,M,white,nonhispanic,F,Athens  Georgia  US,395 Bosco Tunnel,Acworth,Georgia,Cobb County,13067,30152,34.001068426569155,-84.63860078396621,149870.51,885733.75,27762
ad8c1738-7b6b-66e5-4a08-ec643f96ffd3,1956-04-01,,999-33-9531,S99965155,X35300166X,Mrs.,Elizebeth108,Nicola388,Witting912,,Ward668,M,white,nonhispanic,F,Washington  Georgia  US,566 Armstrong Rest Apt 5,Columbus,Georgia,Muscogee County,13215,31901,32.47112512345019,-84.98081902786534,315452.93,78513.08,54531
f3ea0914-3df2-bf8c-37e8-f5d88a402450,1947-02-03,2010-03-15,999-77-5490,S99919519,X70551127X,Ms.,María José279,Maricarmen445,Barela183,,,S,white,hispanic,F,Juarez  Chihuahua  MX,1058 Weimann Lane,Baldwin,Georgia,Habersham County,13011,30511,34.433884377892745,-83.5212625564629,395525.22,915779.75,14091
4670b3e7-72de-aac4-2bac-7b6d74c7818a,1964-12-24,,999-53-3189,S99984534,X15669373X,Mr.,Cristian531,Manuel446,Apodaca347,,,M,white,hispanic,M,Ponce  Puerto Rico  PR,160 Wolf Light Unit 11,Macon-Bibb County,Georgia,Bibb County,13021,31201,32.82063303618409,-83.57959064400826,78351.89,918.83,56859
7e2eda23-dc06-9150-aaf3-f170b1cb4829,1999-12-26,,999-57-6035,S99979934,X52485475X,Ms.,Leonor133,Blanca837,Solorio55,,,,black,hispanic,F,Portsmouth  Saint John Parish  DM,459 Stehr Forge,Tifton,Georgia,Tift County,13277,31793,31.465022029850115,-83.57015913318861,95894.95,155756.31,27359
